"movie"
"{""_id"":""621f10afc950d805e2336cf5"",""name"":""Ashiqi 2"",""genre"":""Romantic"",""businessDone"":5000,""actors"":null,""review"":[""621f1b3e1397f481f2e8d82b""],""__v"":1,""rating"":4}""movie"
"{""_id"":""621f10c4c950d805e2336cf8"",""name"":""xyz"",""genre"":""Romantic"",""businessDone"":20000,""actors"":null,""review"":[],""__v"":0,""rating"":4}""movie"
"{""_id"":""6223fc123fb6b5f384ec7698"",""name"":""KhANA"",""genre"":""Comedy"",""businessDone"":5000,""actors"":null,""review"":[],""__v"":0}""movie"
"{""_id"":""621f44bff378dc3e0b08afd1"",""name"":""Ashiqi 4"",""genre"":""Comedy"",""businessDone"":5000,""actors"":null,""review"":[],""__v"":0}""movie"
"{""_id"":""62286f5d45302f264cb6bd00"",""name"":""Hello"",""genre"":""comedy"",""businessDone"":200000,""actors"":{""_id"":""60d0fe4f5311236168a10a2c""},""poster"":""uploads\\images\\image_58.jpg_1646817117175"",""review"":[],""__v"":0}""movie"
"{""_id"":""621f10afc950d805e2336cf5"",""name"":""Ashiqi 2"",""genre"":""Romantic"",""businessDone"":5000,""actors"":null,""review"":[""621f1b3e1397f481f2e8d82b""],""__v"":1,""rating"":4}""movie"
"{""_id"":""621f10c4c950d805e2336cf8"",""name"":""xyz"",""genre"":""Romantic"",""businessDone"":20000,""actors"":null,""review"":[],""__v"":0,""rating"":4}""movie"
"{""_id"":""621f44bff378dc3e0b08afd1"",""name"":""Ashiqi 4"",""genre"":""Comedy"",""businessDone"":5000,""actors"":null,""review"":[],""__v"":0}""movie"
"{""_id"":""6223fc123fb6b5f384ec7698"",""name"":""KhANA"",""genre"":""Comedy"",""businessDone"":5000,""actors"":null,""review"":[],""__v"":0}""movie"
"{""_id"":""62286f5d45302f264cb6bd00"",""name"":""Hello"",""genre"":""comedy"",""businessDone"":200000,""actors"":{""_id"":""60d0fe4f5311236168a10a2c""},""poster"":""uploads\\images\\image_58.jpg_1646817117175"",""review"":[],""__v"":0}"
